"var","category_en","category_short_en","question_short_en","question_en","category_es","category_short_es","question_short_es","question_es","aut_idx","ca_idx","crit_idx","fear_idx","transp_idx","trust_idx","weahlt_idx","common","label.lapop.2004.GTM","levels.lapop.2004.GTM","label.lapop.2004.HND","levels.lapop.2004.HND","label.lapop.2004.SLV","levels.lapop.2004.SLV","label.lapop.2006.GTM","levels.lapop.2006.GTM","label.lapop.2006.HND","levels.lapop.2006.HND","label.lapop.2006.SLV","levels.lapop.2006.SLV","label.lapop.2008.GTM","levels.lapop.2008.GTM","label.lapop.2008.HND","levels.lapop.2008.HND","label.lapop.2008.SLV","levels.lapop.2008.SLV","label.lapop.2010.GTM","levels.lapop.2010.GTM","label.lapop.2010.HND","levels.lapop.2010.HND","label.lapop.2010.SLV","levels.lapop.2010.SLV","label.lapop.2012.GTM","levels.lapop.2012.GTM","label.lapop.2012.HND","levels.lapop.2012.HND","label.lapop.2012.SLV","levels.lapop.2012.SLV","label.lapop.2014.GTM","levels.lapop.2014.GTM","label.lapop.2014.HND","levels.lapop.2014.HND","label.lapop.2014.SLV","levels.lapop.2014.SLV","label.lapop.2016.GTM","levels.lapop.2016.GTM","label.lapop.2016.HND","levels.lapop.2016.HND","label.lapop.2016.SLV","levels.lapop.2016.SLV","label.lapop.2018.HND","levels.lapop.2018.HND","label.lapop.2018.SLV","levels.lapop.2018.SLV","label.lapop.2019.GTM","levels.lapop.2019.GTM"
"a4","Evaluation of Institutions, Political System and Other Persons","Evaluations","Most Important Problem","In your opinion, what is the most serious problem faced by the country? (Don't read alternatives; Accept on one response)","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","El problema más importante","En su opinión ¿cuál es el problema más grave que está enfrentando el país? (No leer alternativas,  Aceptar solo una respuesta)",NA,NA,NA,NA,NA,NA,NA,NA,"Para empezar, en su opinión ¿Cuál es el problema más grave que está enfrentando ",21,"Frecuencia con la que lee Noticias por Internet",4,NA,NA,"En su opinión ¿Cuál es el problema más grave que está enfrentando el país?",35,"Para empezar, en su opinión ¿cuál es el problema MÁS GRAVE que está enfrentando ",33,"Para empezar, en su opinión ¿cuál es el problema MÁS GRAVE que está enfrentando ",31,"En su opinión ¿Cuál es el problema más grave que está enfrentando el país?",32,"¿Cuál es el problema MÁS GRAVE que está enfrentando el país?",33,"Para empezar, en su opinión ¿cuál es el problema MÁS GRAVE que está enfrentando ",25,"En su opinión ¿cuál es el problema más grave que está enfrentando el país?",31,"En su opinión ¿cuál es el problema más grave que está enfrentando el país?",40,"En su opinión ¿cuál es el problema más grave que está enfrentando el país?",23,"COA4: El problema más grave que enfrenta el país",34,"El problema más grave que enfrenta el país",34,"¿cuál es el problema más grave que está enfrentando el país?",22,"El problema más importante",32,"El problema más importante",29,"El problema más importante",22,"Most Important Problem",33,"Most Important Problem",27,"Most Important Problem",21,"El problema más importante",28,"El problema más importante",21,"El problema más importante",28
"aoj11","Crime, Insecurity, and Policy Preferences","Democratic Support","Perception of Neighborhood Insecurity","Speaking of the neighborhood where you live and thinking of the possibility of being assaulted or robbed, do you feel very safe, somewhat safe, somewhat unsafe or very unsafe?","Apoyo a la democracia e instituciones democráticas","Apoyo democrático","Percepción de inseguridad","Hablando del lugar o el barrio donde usted vive y pensando en la posibilidad de ser víctima de un asalto o robo, ¿usted se siente muy seguro(a), algo seguro(a), algo inseguro(a) o muy inseguro(a)?",NA,NA,NA,NA,NA,NA,NA,"Hablando del lugar o barrio donde Ud.  vive, y pensando en la posibilidad de ser","Hablando del lugar o barrio donde Ud.  vive, y pensando en la posibilidad de ser",4,"Hablando del lugar o barrio donde vive, y pensando en la posibilidad de ser víct",4,"Hablando del lugar o barrio donde vive, y pensando en la posibilidad de ser víct",4,"Hablando del lugar donde vive,  y pensando en la posibilidad de ser victima de u",4,"Hablando del lugar o barrio donde usted vive, y pensando en la posibilidad de se",4,"Hablando del lugar o barrio donde usted vive, y pensando en la posibilidad de se",4,"Hablando del lugar donde vive y pensando en la posibilidad de ser víctima de un ",4,"Hablando del lugar o barrio/colonia donde usted vive, y pensando en la posibilid",4,"Hablando del lugar o barrio/colonia donde usted vive, y pensando en la posibilid",4,"Hablando del lugar o el barrio/la colonia donde usted vive y pensando en la posi",4,"Hablando del lugar o el barrio/la colonia donde usted vive y pensando en la posi",4,"Hablando del lugar o el barrio/la colonia donde usted vive y pensando en la posi",4,"Hablando del lugar o el barrio/la colonia donde usted vive y pensando en la posi",4,"Hablando del lugar o el barrio/la colonia donde usted vive y pensando en la posi",4,"Hablando del lugar o el barrio/la colonia donde usted vive y pensando en la posi",4,"Percepción de inseguridad en el barrio",4,"Percepción de inseguridad en el barrio",4,"Percepción de inseguridad en el barrio",4,"Perception of Neighborhood Insecurity",4,"Perception of Neighborhood Insecurity",4,"Perception of Neighborhood Insecurity",4,"Percepción de inseguridad en el barrio",4,"Percepción de inseguridad en el barrio",4,"Percepción de inseguridad en el barrio",4
"aoj12","Crime, Insecurity, and Policy Preferences","Democratic Support","Confidence that Judiciary will Punish the Guilty","If you were a victim of a robbery or assault how much faith do you have that the judicial system would punish the guilty?","Apoyo a la democracia e instituciones democráticas","Apoyo democrático","Confianza en que el sistema judicial castigue a culpables","Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría que el sistema judicial castigue al culpable? Confiaría...",NA,NA,NA,NA,NA,NA,NA,"Si fuera víctima de un robo o asalto, ¿Cuánto confiaría en que el sistema judici","Si fuera víctima de un robo o asalto, ¿Cuánto confiaría en que el sistema judici",4,"Si fuera víctima de un robo o asalto, ¿Cuánto confiaría en que el sistema judici",4,"Si fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema judici",4,"Si fuera víctima de un robo o asalto, ¿Cuánto confiaría en que el sistema judici",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema ",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema ",4,"Si fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema judici",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema ",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema ",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema ",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema ",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría que el sistema jud",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría en que el sistema",4,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría que el sistema jud",4,"Confianza en que el sistema judicial castigue a los culpables",4,"Confianza en que el sistema judicial castigue a los culpables",4,"Confianza en que el sistema judicial castigue a los culpables",4,"Confidence that Judiciary will Punish the Guilty",4,"Confidence that Judiciary will Punish the Guilty",4,"Confidence that Judiciary will Punish the Guilty",4,"Confianza en que el sistema judicial castigue a los culpables",4,"Confianza en que el sistema judicial castigue a los culpables",4,"Confianza en que el sistema judicial castigue a los culpables",4
"b1","Evaluation of Institutions, Political System and Other Persons","Evaluations","Courts Guarantee Fair Trial","To what extent do you think the courts in (country) guarantee a fair trial?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Cortes garantizan un juicio justo","¿Hasta qué punto cree usted que los tribunales de justicia de [país] garantizan un juicio justo?",NA,NA,NA,NA,NA,NA,NA,"¿Hasta qué punto cree que los tribunales de justicia de Guatemala garantizan un ","¿Hasta qué punto cree que los tribunales de justicia de Guatemala garantizan un ",7,"¿Hasta qué punto cree que los tribunales de justicia de Honduras garantizan un j",7,"¿Hasta qué punto cree que los tribunales de justicia de El Salvador garantizan u",7,"¿Hasta qué punto cree que los tribunales de justicia de Guatemala garantizan un ",7,"¿Hasta qué punto cree Ud. que los tribunales de justicia de Honduras garantizan ",7,"¿Hasta qué punto cree usted que los tribunales de justicia de El Salvador garant",7,"¿Hasta qué punto cree que los tribunales de justicia de Guatemala garantizan un ",7,"¿Hasta qué punto cree usted que los tribunales de justicia de Honduras garantiza",7,"¿Hasta qué punto cree usted que los tribunales de justicia de El Salvador garant",7,"¿Hasta qué punto cree usted que los tribunales de justicia de Guatemala garantiz",7,"¿Hasta qué punto cree usted que los tribunales de justicia de Honduras garantiza",7,"¿Hasta qué punto cree usted que los tribunales de justicia de El Salvador garant",7,"Voy a hacerle una serie de preguntas, y le voy a pedir que para darme su respues",7,"Voy a hacerle una serie de preguntas, y le voy a pedir que para darme su respues",7,"¿Hasta qué punto cree usted que los tribunales de justicia de El Salvador garant",7,"Cortes garantizan un juicio justo",7,"Cortes garantizan un juicio justo",7,"Cortes garantizan un juicio justo",7,"Courts Guarantee Fair Trial",7,"Courts Guarantee Fair Trial",7,"Courts Guarantee Fair Trial",7,"Cortes garantizan un juicio justo",7,"Cortes garantizan un juicio justo",7,"Cortes garantizan un juicio justo",7
"b12","Evaluation of Institutions, Political System and Other Persons","Evaluations","Trust in Armed Forces","To what extent do you trust the Armed Forces?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Confianza en las Fuerzas Armadas","¿Hasta qué punto tiene confianza usted en las Fuerzas Armadas?",NA,NA,NA,NA,NA,NA,NA,"¿Hasta qué punto tiene confianza en el Ejército?","¿Hasta qué punto tiene confianza en el Ejército?",7,"¿Hasta qué punto tiene confianza en las Fuerzas Armadas?",7,"¿Hasta qué punto tiene confianza en la Fuerza Armada?",7,"¿Hasta qué punto tiene confianza Ud. en el Ejército?",7,"¿Hasta qué punto tiene confianza Ud. en las Fuerzas Armadas?",7,"¿Hasta qué punto tiene confianza usted en la Fuerza Armada?",7,"¿Hasta qué punto tiene confianza Ud. en el ejército?",7,"¿Hasta qué punto tiene confianza usted en las Fuerzas Armadas?",7,"¿Hasta qué punto tiene confianza usted en la Fuerza Armada?",7,"¿Hasta qué punto tiene usted confianza en el Ejército?",7,"¿Hasta qué punto tiene confianza usted en las Fuerzas Armadas?",7,"¿Hasta qué punto tiene confianza usted en la Fuerza Armada?",7,"¿Hasta qué punto tiene usted confianza en el Ejército?",7,"¿Hasta qué punto tiene confianza usted en las Fuerzas Armadas?",7,"¿Hasta qué punto tiene confianza usted en la Fuerza Armada?",7,"Confianza en las Fuerzas Armadas",7,"Confianza en las Fuerzas Armadas",7,"Confianza en las Fuerzas Armadas",7,"Trust in Armed Forces",7,"Trust in Armed Forces",7,"Trust in Armed Forces",7,"Confianza en las Fuerzas Armadas",7,"Confianza en las Fuerzas Armadas",7,"Confianza en las Fuerzas Armadas",7
"b13","Evaluation of Institutions, Political System and Other Persons","Evaluations","Trust in the National Legislature","To what extent do you trust the National Congress?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Confianza en el Congreso Nacional","¿Hasta qué punto tiene confianza usted en el Congreso Nacional?",NA,NA,NA,NA,NA,NA,NA,"¿Hasta qué punto tiene confianza en el Congreso Nacional?","¿Hasta qué punto tiene confianza en el Congreso Nacional?",7,"¿Hasta qué punto tiene confianza en el Congreso Nacional?",7,"¿Hasta qué punto tiene confianza en la Asamblea Legislativa?",7,"¿Hasta qué punto tiene confianza en la Congreso Nacional?",7,"¿Hasta qué punto tiene confianza Ud. en el Congreso Nacional?",7,"¿Hasta qué punto tiene confianza usted en la Asamblea Legislativa?",7,"¿Hasta qué punto tiene confianza en la Congreso Nacional?",7,"¿Hasta qué punto tiene confianza usted en el Congreso Nacional?",7,"¿Hasta qué punto tiene confianza usted en la Asamblea Legislativa?",7,"¿Hasta qué punto tiene usted confianza en el Congreso?",7,"¿Hasta qué punto tiene confianza usted en el Congreso Nacional?",7,"¿Hasta qué punto tiene confianza usted en la Asamblea Legislativa?",7,"¿Hasta qué punto tiene usted confianza en el Congreso?",7,"¿Hasta qué punto tiene confianza usted en el Congreso Nacional?",7,"¿Hasta qué punto tiene confianza usted en la Asamblea Legislativa?",7,"Confianza en el Congreso Nacional",7,"Confianza en el Congreso Nacional",7,"Confianza en la Asamblea Legislativa",7,"Trust in the National Legislature",7,"Trust in the National Legislature",7,"Trust in the Asamblea Legislativa",7,"Confianza en el Congreso Nacional",7,"Confianza en la Asamblea Legislativa",7,"Confianza en el Congreso Nacional",7
"b18","Evaluation of Institutions, Political System and Other Persons","Evaluations","Trust in National Police","To what extent do you trust the National Police?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Confianza en la Policía Nacional","¿Hasta qué punto tiene confianza usted en la Policía Nacional?",NA,NA,NA,NA,NA,NA,NA,"¿Hasta qué punto tiene confianza en la Policía Nacional Civil?","¿Hasta qué punto tiene confianza en la Policía Nacional Civil?",7,"¿Hasta qué punto tiene confianza en las Policías?",7,"¿Hasta qué punto tiene confianza en la Policía Nacional Civil?",7,"¿Hasta qué punto tiene confianza en la Policía Nacional?",7,"¿Hasta qué punto tiene confianza Ud. en la policía?",7,"¿Hasta qué punto tiene confianza usted en la Policía Nacional Civil?",7,"¿Hasta qué punto tiene confianza en la Policía Nacional?",7,"¿Hasta qué punto tiene confianza usted en la policía?",7,"¿Hasta qué punto tiene confianza usted en la Policía Nacional Civil?",7,"¿Hasta qué punto tiene usted confianza en la Policía Nacional?",7,"¿Hasta qué punto tiene confianza usted en la Policía?",7,"¿Hasta qué punto tiene confianza usted en la Policía Nacional Civil?",7,"¿Hasta qué punto tiene usted confianza en la Policía Nacional?",7,"¿Hasta qué punto tiene confianza usted en la Policía?",7,"¿Hasta qué punto tiene confianza usted en la Policía Nacional Civil?",7,"Confianza en la Policía Nacional",7,"Confianza en la Policía Nacional",7,"Confianza en la Policía Nacional Civil",7,"Trust in National Police",7,"Trust in National Police",7,"Trust in National Civil Police",7,"Confianza en la Policía Nacional",7,"Confianza en la Policía Nacional Civil",7,"Confianza en la Policía Nacional",7
"b2","Evaluation of Institutions, Political System and Other Persons","Evaluations","Respect for Political Institutions","To what extent do you respect the political institutions of (country)?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Respeto a las instituciones","¿Hasta qué punto tiene usted respeto por las instituciones políticas de [país]?",NA,NA,NA,NA,NA,NA,NA,"¿Hasta qué punto tiene respeto por las instituciones políticas de Guatemala?","¿Hasta qué punto tiene respeto por las instituciones políticas de Guatemala?",7,"¿Hasta qué punto tiene respeto por las instituciones políticas de Honduras?",7,"¿Hasta qué punto tiene respeto por las instituciones políticas de El Salvador?",7,"¿Hasta qué punto tiene respeto por las instituciones políticas de Guatemala?",7,"¿Hasta qué punto tiene Ud. respeto por las instituciones políticas de Honduras?",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de El Salva",7,"¿Hasta qué punto tiene respeto por las instituciones políticas de Guatemala?",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de Honduras",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de El Salva",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de Guatemal",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de Honduras",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de El Salva",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de Guatemal",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de Honduras",7,"¿Hasta qué punto tiene usted respeto por las instituciones políticas de El Salva",7,"Respeto a las instituciones",7,"Respeto a las instituciones",7,"Respeto a las instituciones",7,"Respect for Political Institutions",7,"Respect for Political Institutions",7,"Respect for Political Institutions",7,"Respeto a las instituciones",7,"Respeto a las instituciones",7,"Respeto a las instituciones",7
"b20","Evaluation of Institutions, Political System and Other Persons","Evaluations","Trust in Catholic Church","To what extent do you trust the Catholic Church?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Confianza en la Iglesia Católica","¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",NA,NA,NA,NA,NA,NA,NA,NA,"¿Hasta qué punto tiene confianza en la Iglesia católica?",7,"¿Hasta qué punto tiene confianza en la Iglesia Católica?",8,"¿Hasta qué punto tiene confianza en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"¿Hasta qué punto tiene usted confianza en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"¿Hasta qué punto tiene usted confianza en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Católica?",7,"Confianza en la Iglesia Católica",7,"Confianza en la Iglesia Católica",7,"Confianza en la Iglesia Católica",7,NA,NA,"Trust in Catholic Church",7,"Trust in Catholic Church",7,"Confianza en la Iglesia Católica",7,"Confianza en la Iglesia Católica",7,"Confianza en la Iglesia Católica",7
"b20a","Evaluation of Institutions, Political System and Other Persons","Evaluations","Trust in Evangelical/Protestant Church","To what extent do you trust the Evangelical/Protestant Church [use the most common name in your country]?","Evaluación de instituciones, sistema política y otras personas","Evaluaciones","Confianza en las Iglesias Evangélicas/Protestante","¿Hasta qué punto tiene confianza usted en la Iglesia Evangélica/Protestante [Usar el más común en el país]?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"¿Hasta qué punto tiene usted confianza en la Iglesia Evangélica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Evangélica?",7,"¿Hasta qué punto tiene confianza usted en las Iglesias Evangélicas?",7,"¿Hasta qué punto tiene usted confianza en la Iglesia Evangélica?",7,"¿Hasta qué punto tiene confianza usted en la Iglesia Evangélica?",7,"¿Hasta qué punto tiene confianza usted en las Iglesias Evangélicas?",7,"Confianza en la Iglesia Evangélica",7,"Confianza en la Iglesia Evangélica",7,"Confianza en la Iglesia Evangélica",7,NA,NA,"Trust in Evangelical Church",7,NA,NA,"Confianza en la Iglesia Evangélica",7,"Confianza en la Iglesia Evangélica",7,"Confianza en la Iglesia Evangélica",7
